target-train-micro-f1,target-dev-micro-f1,target-train-macro-f1,target-dev-macro-f1
0.5478941483414088,0.4925373134328358,0.15371556729499902,0.09765223428689322
0.5538576220648528,0.48955223880597015,0.271915165133673,0.10898972343639265
0.5367126351099516,0.5194029850746269,0.17643726664109924,0.10871737497168427
0.5579575102497205,0.5194029850746269,0.34012520567142107,0.1821657025865303
0.5836749906820723,0.5194029850746269,0.3353124592164726,0.22230393459267467
0.6019381289601192,0.5014925373134328,0.3075774678489687,0.14519208002718034
0.6999627282892285,0.582089552238806,0.42754366290112666,0.20568599194496714
0.6056653000372717,0.5432835820895522,0.6919472341625633,0.3289654386561598
0.7566157286619456,0.5074626865671642,0.6285638458979768,0.2000771941678696
0.8114051434960865,0.5492537313432836,0.7344172275561272,0.20800526305256092
0.8643309727916512,0.5671641791044776,0.8110286509495496,0.2389713563757136
