sentiment-train-micro-f1,sentiment-dev-micro-f1,sentiment-train-macro-f1,sentiment-dev-macro-f1
0.1672544080604534,0.10383747178329569,0.017724949130490695,0.008489470210809242
0.2821974014132665,0.27613412228796846,0.06712924001001906,0.05734231121245675
0.27457240592930443,0.2913385826771654,0.07088847772502403,0.023819052760248944
0.38931455787947816,0.4,0.14051449704583976,0.10605887622578673
0.3764499890566864,0.3208955223880597,0.13441196215023474,0.08657632987787368
0.43492654665839026,0.4418212478920741,0.16880665725162333,0.11160386131852211
0.6094864479315264,0.3864306784660767,0.347640331243522,0.14402646112863732
0.6666666666666666,0.4952638700947226,0.3439124859427323,0.15196417286663969
0.6930591259640102,0.4336283185840708,0.34616483260332953,0.12740531000187302
0.7206291987547109,0.39838492597577385,0.45198230822463326,0.1808108517684896
0.741286205203731,0.4648648648648649,0.4797534956029717,0.1863507956490646
0.7880064829821718,0.372093023255814,0.6132525056931806,0.19657716340707554
0.8348552855595109,0.4029304029304029,0.7011514085478115,0.24357876105247725
0.8626564148952208,0.4671916010498688,0.7593234712636587,0.2241564994222438
0.8866893189540553,0.4444444444444444,0.81762832555089,0.20849244912306297
0.8968662645284684,0.4656212303980699,0.804556278603577,0.20862213314899297
0.9140127388535031,0.45925925925925926,0.8794558176801702,0.2039315881635013
