group-train-micro-f1,group-dev-micro-f1,group-train-macro-f1,group-dev-macro-f1
0.3072851805728518,0.24189526184538654,0.023250837653464335,0.05221473944418253
0.3359277708592777,0.2892768079800499,0.036684621099889195,0.0781554037741954
0.34526774595267745,0.2817955112219451,0.05075773422486386,0.057284939421805736
0.2957658779576588,0.22194513715710723,0.04299104939042985,0.11514056998336879
0.261519302615193,0.35660847880299246,0.0692885547300121,0.08606381699687232
0.386986301369863,0.4164588528678304,0.11284687609616836,0.07733713787429726
0.4427148194271482,0.5311720698254364,0.16834046932790872,0.1003249095415068
0.4788293897882939,0.5685785536159601,0.16521026672822367,0.2178473701795336
0.4962640099626401,0.5635910224438903,0.18504470073184567,0.25199423919550756
0.5158779576587795,0.5261845386533666,0.2967788508392275,0.18133012923313088
0.5457658779576587,0.5536159600997507,0.2018213608534807,0.16513299584759142
0.4803860523038605,0.486284289276808,0.24969980859485652,0.15089758805758421
