target-train-micro-f1,target-dev-micro-f1,target-train-macro-f1,target-dev-macro-f1
0.6460149439601495,0.22194513715710723,0.06391556753490428,0.15364608105240543
0.7431506849315068,0.57356608478803,0.07676982475468438,0.06570467693410216
0.7434620174346203,0.6658354114713217,0.08161416580115295,0.06924204876414275
0.6528642590286425,0.24688279301745636,0.06435134114132426,0.13518639961025705
0.7733499377334992,0.6533665835411472,0.08156685187289955,0.07844405062860751
0.7867372353673724,0.6633416458852868,0.1379744897315517,0.1412343258280251
0.8026151930261519,0.7057356608478803,0.14930506333244786,0.14487695641420806
0.790161892901619,0.7132169576059849,0.14496342163383058,0.1541887926512517
0.7973225404732254,0.6034912718204489,0.14344981389128483,0.13377245565214532
0.8231631382316313,0.683291770573566,0.1571926960606243,0.1444261629367392
0.8275217932752179,0.6583541147132169,0.2290839440558975,0.14579872022427864
