target-train-micro-f1,target-dev-micro-f1,target-train-macro-f1,target-dev-macro-f1
0.683747525841214,0.6618181818181819,0.4681483517237978,0.34330332648358974
0.6905652078293381,0.6381818181818182,0.4094620024551205,0.36107282900983984
0.6973828898174621,0.6381818181818182,0.3324500545229998,0.31946387147660316
0.7037607213547394,0.64,0.39188807150744215,0.375218672506512
0.74114800967671,0.6672727272727272,0.46561744062480426,0.45154931572358864
0.7734770178139433,0.6727272727272727,0.5254844986216617,0.4762384179532408
0.7756762700681769,0.6854545454545454,0.6053159631334898,0.4734767176284279
0.8055861007257532,0.6545454545454545,0.6100373644090648,0.43093473699458495
0.835715856608753,0.6836363636363636,0.6894963182181872,0.43582952046400925
0.8524301737409281,0.6709090909090909,0.7150848575189743,0.42350707786724257
