target-train-micro-f1,target-dev-micro-f1,target-train-macro-f1,target-dev-macro-f1
0.5301666347443018,0.3895800933125972,0.39625328192740694,0.3754673685287204
0.5985443401647194,0.44090202177293936,0.4290007310114079,0.38739424315855364
0.6725723041562919,0.5839813374805599,0.5450177841031789,0.4936336029948814
0.687703505075656,0.6236391912908242,0.5640176063721503,0.5064944312796643
0.697950584179276,0.5777604976671851,0.5830433837950413,0.48371920163950244
0.7760007661367554,0.6298600311041991,0.648103248095909,0.537893898011974
0.8142118368128711,0.6430793157076206,0.6803535180630835,0.5456097128079349
0.8455276766902892,0.6337480559875583,0.7616895285796372,0.5355814718722482
0.8529017429611185,0.6228615863141524,0.724000688078092,0.540654447137053
0.8433250335184831,0.583203732503888,0.7558128231668778,0.502426603117553
