group-train-micro-f1,group-dev-micro-f1,group-train-macro-f1,group-dev-macro-f1
0.4054778778011875,0.38880248833592534,0.11274944280725677,0.10859582216111913
0.4189810381153036,0.3654743390357698,0.13910980627375572,0.11610039923154307
0.4859222371193258,0.4284603421461897,0.18994431435862108,0.16201282647587328
0.5117793526144416,0.44556765163297046,0.22181399996306217,0.1916072891154599
0.4852518674583413,0.442457231726283,0.21838657330491615,0.1756269756691953
0.5489369852518674,0.44556765163297046,0.23388860138100967,0.2055820309263177
0.5730702930473089,0.4393468118195957,0.2679165877004924,0.20564003734787795
0.5677073357594331,0.4237947122861586,0.3081497406279963,0.2378620823611101
0.6302432484198429,0.4735614307931571,0.35839842695253565,0.26179055626351266
0.6108025282512929,0.44090202177293936,0.36683234854703123,0.2287424257104049
0.6325416586860755,0.4564541213063763,0.36347646383808446,0.2343669636597911
0.6587818425588967,0.47433903576982894,0.4359922396021311,0.3221600116906804
0.6885654089254932,0.4976671850699845,0.477811274066209,0.27634800216104627
0.6971844474238652,0.4968895800933126,0.5138482219124638,0.3023895905667077
0.71413522313733,0.536547433903577,0.5197679717593481,0.3067506241611025
0.7246696035242289,0.552099533437014,0.5614675485609951,0.3771978800039934
0.7318521356062057,0.504665629860031,0.5941235426982019,0.3393232418539846
0.748898678414097,0.5194401244167963,0.574391318199291,0.3557974722749746
0.7576134840068953,0.5178849144634525,0.5936505594791504,0.3759333641368321
