embeds,test_lang,h_dim,cross_stitch_init,constraint_weight,sigma,directness-train-f1,directness-dev-f1,directness-test-f1
babylon,all,200,imbalanced,0.1,0.2,0.8436170212765958,0.8683745583038869,0.8688741721854305
babylon,ar,200,imbalanced,0.1,0.2,0.8436170212765958,0.8683745583038869,0.8347826086956522
babylon,en,200,imbalanced,0.1,0.2,0.8436170212765958,0.8683745583038869,0.9361702127659574
babylon,fr,200,imbalanced,0.1,0.2,0.8436170212765958,0.8683745583038869,0.7926829268292682
