embeds,test_lang,h_dim,cross_stitch_init,constraint_weight,sigma,annotator_sentiment-train-micro-f1,annotator_sentiment-dev-micro-f1,annotator_sentiment-test-micro-f1,annotator_sentiment-train-macro-f1,annotator_sentiment-dev-macro-f1,annotator_sentiment-test-macro-f1
babylon,all,200,imbalanced,0.1,0.2,0.5025900771267411,0.4915057915057915,0.49642926076047095,0.28141568434751346,0.26394454391543,0.2629818667865918
babylon,ar,200,imbalanced,0.1,0.2,0.5025900771267411,0.4915057915057915,0.4679334916864608,0.28141568434751346,0.26394454391543,0.053371105607954376
babylon,en,200,imbalanced,0.1,0.2,0.5025900771267411,0.4915057915057915,0.5244248345414435,0.28141568434751346,0.26394454391543,0.17722262946214418
babylon,fr,200,imbalanced,0.1,0.2,0.5025900771267411,0.4915057915057915,0.44082332761578047,0.28141568434751346,0.26394454391543,0.06462017824515608
