embeds,test_lang,h_dim,cross_stitch_init,constraint_weight,sigma,target-train-micro-f1,target-dev-micro-f1,target-test-micro-f1,target-train-macro-f1,target-dev-macro-f1,target-test-macro-f1
babylon,all,200,imbalanced,0.1,0.2,0.8142118368128711,0.6430793157076206,0.6181959564541213,0.6803535180630835,0.5456097128079349,0.5227285693714256
babylon,ar,200,imbalanced,0.1,0.2,0.8142118368128711,0.6430793157076206,0.5283582089552239,0.6803535180630835,0.5456097128079349,0.2428601357912282
babylon,en,200,imbalanced,0.1,0.2,0.8142118368128711,0.6430793157076206,0.6690909090909091,0.6803535180630835,0.5456097128079349,0.3937687556755114
babylon,fr,200,imbalanced,0.1,0.2,0.8142118368128711,0.6430793157076206,0.6234413965087282,0.6803535180630835,0.5456097128079349,0.08484981189131484
