sentiment-train-micro-f1,sentiment-dev-micro-f1,sentiment-train-macro-f1,sentiment-dev-macro-f1
0.43091222306798604,0.48528449967298887,0.11331647703329119,0.1219592373438527
0.45882881778431617,0.5047463175122751,0.1932555337576791,0.1942310357719553
0.4374413806040143,0.4666666666666667,0.23055980279990296,0.2322423735846119
0.346886368499893,0.34074074074074073,0.19202043904721083,0.16035430324510044
0.48740688187300457,0.5136347946151191,0.25792872055084737,0.2519003976941398
0.5038972741608471,0.48635409377186845,0.2714084703188146,0.23289179123336337
0.551360529020151,0.4956491472328577,0.338730722708434,0.24304221212376337
0.5574370280031895,0.45218680504077097,0.36681068544490675,0.22231873319294201
0.4525381961557418,0.4318806438947782,0.2668660284945496,0.21049211230671752
0.5373427489126876,0.46193453475542473,0.32755190225401376,0.23182773663087344
0.5843357853742969,0.5166838665290678,0.3660881947477212,0.2505618553839118
0.6199170479326122,0.4923806298679309,0.4306126933983898,0.264783145686422
0.6418499244586201,0.5086587436332768,0.46026032862252736,0.2677900527882965
0.6722183287298512,0.512259774685222,0.48979174306686796,0.26803931155452093
0.6879637262984336,0.49161636485580146,0.5113179464536338,0.25132322586159117
0.7078898188023077,0.4838497033618984,0.5345442361729811,0.274318587196099
0.7453369434416366,0.5038709677419354,0.6538967204233699,0.29117642980251324
0.729271940817399,0.5016160310277957,0.5663701497006329,0.2625824807002658
0.7598301352626613,0.48743238943684375,0.654342922415578,0.2680383603482445
0.7940339817021604,0.48599935629224333,0.7357172624966307,0.2706479236092754
0.39850016612084105,0.45710003746721617,0.17256505264362496,0.18429970089621991
0.36904639967223196,0.35708227311280744,0.1967825369351033,0.14715527921314794
0.36221207719443865,0.38850102669404524,0.16165279774860908,0.1615855985531657
0.3762448132780083,0.3548387096774193,0.17550301244628422,0.14427581148070254
